type;marque;modele;;;;identifiant;;;;;;;;
Voiture;RENAULT;B80;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('B80  ', 79);";;;;;;;
Voiture;RENAULT;B90;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('B90  ', 79);";;;;;;;
Voiture;RENAULT;CAPTUR;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CAPTUR  ', 79);";;;;;;;
Voiture;RENAULT;CARAVELLE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CARAVELLE  ', 79);";;;;;;;
Voiture;RENAULT;CHEROKEE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CHEROKEE  ', 79);";;;;;;;
Voiture;RENAULT;CLIO;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO  ', 79);";;;;;;;
Voiture;RENAULT;CLIO;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO BACCARA ', 79);";;;;;;;
Voiture;RENAULT;CLIO;ESTATE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO ESTATE ', 79);";;;;;;;
Voiture;RENAULT;CLIO;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO INITIALE ', 79);";;;;;;;
Voiture;RENAULT;CLIO;IV;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO IV ', 79);";;;;;;;
Voiture;RENAULT;CLIO;IV;ESTATE;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CLIO IV ESTATE', 79);";;;;;;;
Voiture;RENAULT;DAUPHINE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('DAUPHINE  ', 79);";;;;;;;
Voiture;RENAULT;ESPACE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESPACE  ', 79);";;;;;;;
Voiture;RENAULT;ESPACE;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESPACE INITIALE ', 79);";;;;;;;
Voiture;RENAULT;ESPACE;RXE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESPACE RXE ', 79);";;;;;;;
Voiture;RENAULT;ESPACE;V;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESPACE V ', 79);";;;;;;;
Voiture;RENAULT;ESTAFETTE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESTAFETTE  ', 79);";;;;;;;
Voiture;RENAULT;EXPRESS;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('EXPRESS  ', 79);";;;;;;;
Voiture;RENAULT;FLUENCE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FLUENCE  ', 79);";;;;;;;
Voiture;RENAULT;FUEGO;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FUEGO  ', 79);";;;;;;;
Voiture;RENAULT;GRAND;ESPACE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND ESPACE ', 79);";;;;;;;
Voiture;RENAULT;GRAND;ESPACE;INITIAL;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND ESPACE INITIAL', 79);";;;;;;;
Voiture;RENAULT;GRAND;ESPACE;IV;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND ESPACE IV', 79);";;;;;;;
Voiture;RENAULT;GRAND;MODUS;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND MODUS ', 79);";;;;;;;
Voiture;RENAULT;GRAND;SCENIC;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND SCENIC ', 79);";;;;;;;
Voiture;RENAULT;GRAND;SCENIC;III;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GRAND SCENIC III', 79);";;;;;;;
Voiture;RENAULT;JEEP;AMC;CJ7;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JEEP AMC CJ7', 79);";;;;;;;
Voiture;RENAULT;JEEP;WRANGLER;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JEEP WRANGLER ', 79);";;;;;;;
Voiture;RENAULT;JP4;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JP4  ', 79);";;;;;;;
Voiture;RENAULT;KADJAR;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KADJAR  ', 79);";;;;;;;
Voiture;RENAULT;KANGOO;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KANGOO  ', 79);";;;;;;;
Voiture;RENAULT;KANGOO;BE;BOP;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KANGOO BE BOP', 79);";;;;;;;
Voiture;RENAULT;KANGOO;EXPRESS;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KANGOO EXPRESS ', 79);";;;;;;;
Voiture;RENAULT;KANGOO;EXPRESS;II;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KANGOO EXPRESS II', 79);";;;;;;;
Voiture;RENAULT;KANGOO;II;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KANGOO II ', 79);";;;;;;;
Voiture;RENAULT;KOLEOS;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('KOLEOS  ', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA  ', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA BACCARA ', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;ESTATE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA ESTATE ', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA III ', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;III;ESTATE;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA III ESTATE', 79);";;;;;;;
Voiture;RENAULT;LAGUNA;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LAGUNA INITIALE ', 79);";;;;;;;
Voiture;RENAULT;LATITUDE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LATITUDE  ', 79);";;;;;;;
Voiture;RENAULT;MASCOTT;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MASCOTT  ', 79);";;;;;;;
Voiture;RENAULT;MASTER;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MASTER  ', 79);";;;;;;;
Voiture;RENAULT;MASTER;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MASTER III ', 79);";;;;;;;
Voiture;RENAULT;MAXITY;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MAXITY  ', 79);";;;;;;;
Voiture;RENAULT;MEGANE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE  ', 79);";;;;;;;
Voiture;RENAULT;MEGANE;COUPE;CABRIO;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE COUPE CABRIO', 79);";;;;;;;
Voiture;RENAULT;MEGANE;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE III ', 79);";;;;;;;
Voiture;RENAULT;MEGANE;III;COUPE;CAB;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE III COUPE', 79);";;;;;;;
Voiture;RENAULT;MEGANE;III;ESTATE;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE III ESTATE', 79);";;;;;;;
Voiture;RENAULT;MEGANE;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE INITIALE ', 79);";;;;;;;
Voiture;RENAULT;MEGANE;IV;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MEGANE IV ', 79);";;;;;;;
Voiture;RENAULT;MESSENGER;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MESSENGER  ', 79);";;;;;;;
Voiture;RENAULT;MODUS;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MODUS  ', 79);";;;;;;;
Voiture;RENAULT;ONDINE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ONDINE  ', 79);";;;;;;;
Voiture;RENAULT;R10;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R10  ', 79);";;;;;;;
Voiture;RENAULT;R11;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R11  ', 79);";;;;;;;
Voiture;RENAULT;R12;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R12  ', 79);";;;;;;;
Voiture;RENAULT;R14;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R14  ', 79);";;;;;;;
Voiture;RENAULT;R15;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R15  ', 79);";;;;;;;
Voiture;RENAULT;R16;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R16  ', 79);";;;;;;;
Voiture;RENAULT;R17;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R17  ', 79);";;;;;;;
Voiture;RENAULT;R18;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R18  ', 79);";;;;;;;
Voiture;RENAULT;R19;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R19  ', 79);";;;;;;;
Voiture;RENAULT;R19;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R19 BACCARA ', 79);";;;;;;;
Voiture;RENAULT;R20;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R20  ', 79);";;;;;;;
Voiture;RENAULT;R21;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R21  ', 79);";;;;;;;
Voiture;RENAULT;R21;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R21 BACCARA ', 79);";;;;;;;
Voiture;RENAULT;R25;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R25  ', 79);";;;;;;;
Voiture;RENAULT;R25;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R25 BACCARA ', 79);";;;;;;;
Voiture;RENAULT;R30;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R30  ', 79);";;;;;;;
Voiture;RENAULT;R4;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R4  ', 79);";;;;;;;
Voiture;RENAULT;R5;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R5  ', 79);";;;;;;;
Voiture;RENAULT;R6;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R6  ', 79);";;;;;;;
Voiture;RENAULT;R8;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R8  ', 79);";;;;;;;
Voiture;RENAULT;R9;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R9  ', 79);";;;;;;;
Voiture;RENAULT;RODEO;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RODEO  ', 79);";;;;;;;
Voiture;RENAULT;SAFRANE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SAFRANE  ', 79);";;;;;;;
Voiture;RENAULT;SAFRANE;BACCARA;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SAFRANE BACCARA ', 79);";;;;;;;
Voiture;RENAULT;SAFRANE;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SAFRANE INITIALE ', 79);";;;;;;;
Voiture;RENAULT;SAVIEM;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SAVIEM  ', 79);";;;;;;;
Voiture;RENAULT;SCENIC;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SCENIC  ', 79);";;;;;;;
Voiture;RENAULT;SCENIC;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SCENIC III ', 79);";;;;;;;
Voiture;RENAULT;SPIDER;SPORT;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SPIDER SPORT ', 79);";;;;;;;
Voiture;RENAULT;SUPERCINQ;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SUPERCINQ  ', 79);";;;;;;;
Voiture;RENAULT;SUPERCINQ;BACCAR;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SUPERCINQ BACCAR ', 79);";;;;;;;
Voiture;RENAULT;TALISMAN;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TALISMAN  ', 79);";;;;;;;
Voiture;RENAULT;TRAFIC;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRAFIC  ', 79);";;;;;;;
Voiture;RENAULT;TRAFIC;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRAFIC III ', 79);";;;;;;;
Voiture;RENAULT;TRAFIC;PASSENGER;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRAFIC PASSENGER ', 79);";;;;;;;
Voiture;RENAULT;TWINGO;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TWINGO  ', 79);";;;;;;;
Voiture;RENAULT;TWINGO;III;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TWINGO III ', 79);";;;;;;;
Voiture;RENAULT;TWINGO;INITIALE;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TWINGO INITIALE ', 79);";;;;;;;
Voiture;RENAULT;VEL;SATIS;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('VEL SATIS ', 79);";;;;;;;
Voiture;RENAULT;VEL;SATIS;INITIALE;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('VEL SATIS INITIALE', 79);";;;;;;;
Voiture;RENAULT;WIND;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('WIND  ', 79);";;;;;;;
Voiture;RENAULT;ZOE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ZOE  ', 79);";;;;;;;
Voiture;RENAULT;AUTRE;;;;79;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 79);";;;;;;;
Voiture;ROLLS ROYCE;SILVER;CLOUD;;;80;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SILVER CLOUD ', 80);";;;;;;;
Voiture;ROLLS ROYCE;AUTRE;;;;80;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 80);";;;;;;;
Voiture;ROVER;111;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('111  ', 81);";;;;;;;
Voiture;ROVER;114;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('114  ', 81);";;;;;;;
Voiture;ROVER;115;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('115  ', 81);";;;;;;;
Voiture;ROVER;200;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('200  ', 81);";;;;;;;
Voiture;ROVER;2000;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('2000  ', 81);";;;;;;;
Voiture;ROVER;213;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('213  ', 81);";;;;;;;
Voiture;ROVER;214;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('214  ', 81);";;;;;;;
Voiture;ROVER;216;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('216  ', 81);";;;;;;;
Voiture;ROVER;218;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('218  ', 81);";;;;;;;
Voiture;ROVER;220;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('220  ', 81);";;;;;;;
Voiture;ROVER;2300;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('2300  ', 81);";;;;;;;
Voiture;ROVER;2400;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('2400  ', 81);";;;;;;;
Voiture;ROVER;25;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('25  ', 81);";;;;;;;
Voiture;ROVER;2600;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('2600  ', 81);";;;;;;;
Voiture;ROVER;3500;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('3500  ', 81);";;;;;;;
Voiture;ROVER;414;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('414  ', 81);";;;;;;;
Voiture;ROVER;416;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('416  ', 81);";;;;;;;
Voiture;ROVER;418;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('418  ', 81);";;;;;;;
Voiture;ROVER;420;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('420  ', 81);";;;;;;;
Voiture;ROVER;45;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('45  ', 81);";;;;;;;
Voiture;ROVER;618;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('618  ', 81);";;;;;;;
Voiture;ROVER;620;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('620  ', 81);";;;;;;;
Voiture;ROVER;623;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('623  ', 81);";;;;;;;
Voiture;ROVER;75;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('75  ', 81);";;;;;;;
Voiture;ROVER;75;TOURER;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('75 TOURER ', 81);";;;;;;;
Voiture;ROVER;820;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('820  ', 81);";;;;;;;
Voiture;ROVER;825;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('825  ', 81);";;;;;;;
Voiture;ROVER;827;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('827  ', 81);";;;;;;;
Voiture;ROVER;ESTATE;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ESTATE  ', 81);";;;;;;;
Voiture;ROVER;FREIGHT;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FREIGHT  ', 81);";;;;;;;
Voiture;ROVER;MGF;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MGF  ', 81);";;;;;;;
Voiture;ROVER;MINI;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MINI  ', 81);";;;;;;;
Voiture;ROVER;MOKE;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MOKE  ', 81);";;;;;;;
Voiture;ROVER;MONTEGO;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MONTEGO  ', 81);";;;;;;;
Voiture;ROVER;STREETWISE;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('STREETWISE  ', 81);";;;;;;;
Voiture;ROVER;AUTRE;;;;81;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 81);";;;;;;;
Voiture;SAAB;900;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('900  ', 82);";;;;;;;
Voiture;SAAB;9000;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9000  ', 82);";;;;;;;
Voiture;SAAB;9-3;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-3  ', 82);";;;;;;;
Voiture;SAAB;9-3;SPORT;HATCH;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-3 SPORT HATCH', 82);";;;;;;;
Voiture;SAAB;9-3;X;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-3 X ', 82);";;;;;;;
Voiture;SAAB;9-5;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-5  ', 82);";;;;;;;
Voiture;SAAB;9-5;ESTATE;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-5 ESTATE ', 82);";;;;;;;
Voiture;SAAB;9-7X;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('9-7X  ', 82);";;;;;;;
Voiture;SAAB;AUTRE;;;;82;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 82);";;;;;;;
Voiture;SANTANA;NAIROBI;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('NAIROBI  ', 83);";;;;;;;
Voiture;SANTANA;PS;10;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PS 10 ', 83);";;;;;;;
Voiture;SANTANA;S300;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S300  ', 83);";;;;;;;
Voiture;SANTANA;S350;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S350  ', 83);";;;;;;;
Voiture;SANTANA;S410;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S410  ', 83);";;;;;;;
Voiture;SANTANA;S413;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S413  ', 83);";;;;;;;
Voiture;SANTANA;SAMURAI;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SAMURAI  ', 83);";;;;;;;
Voiture;SANTANA;VITARA;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('VITARA  ', 83);";;;;;;;
Voiture;SANTANA;AUTRE;;;;83;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 83);";;;;;;;
Voiture;SEAT;ALHAMBRA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALHAMBRA  ', 84);";;;;;;;
Voiture;SEAT;ALTEA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALTEA  ', 84);";;;;;;;
Voiture;SEAT;ALTEA;XL;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALTEA XL ', 84);";;;;;;;
Voiture;SEAT;AROSA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AROSA  ', 84);";;;;;;;
Voiture;SEAT;CORDOBA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CORDOBA  ', 84);";;;;;;;
Voiture;SEAT;CORDOBA;VARIO;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CORDOBA VARIO ', 84);";;;;;;;
Voiture;SEAT;EXEO;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('EXEO  ', 84);";;;;;;;
Voiture;SEAT;FURA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FURA  ', 84);";;;;;;;
Voiture;SEAT;IBIZA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IBIZA  ', 84);";;;;;;;
Voiture;SEAT;IBIZA;SPORTCOUPE;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('IBIZA SPORTCOUPE ', 84);";;;;;;;
Voiture;SEAT;INCA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('INCA  ', 84);";;;;;;;
Voiture;SEAT;LEON;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('LEON  ', 84);";;;;;;;
Voiture;SEAT;MALAGA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MALAGA  ', 84);";;;;;;;
Voiture;SEAT;MARBELLA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MARBELLA  ', 84);";;;;;;;
Voiture;SEAT;MII;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MII  ', 84);";;;;;;;
Voiture;SEAT;RONDA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RONDA  ', 84);";;;;;;;
Voiture;SEAT;TERRA;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TERRA  ', 84);";;;;;;;
Voiture;SEAT;TOLEDO;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TOLEDO  ', 84);";;;;;;;
Voiture;SEAT;AUTRE;;;;84;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 84);";;;;;;;
Voiture;SIMCA;1000;;;;85;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('1000  ', 85);";;;;;;;
Voiture;SIMCA;1100;;;;85;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('1100  ', 85);";;;;;;;
Voiture;SIMCA;ARONDE;;;;85;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ARONDE  ', 85);";;;;;;;
Voiture;SIMCA;SIM;QUATRE;;;85;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SIM QUATRE ', 85);";;;;;;;
Voiture;SIMCA;AUTRE;;;;85;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 85);";;;;;;;
Voiture;SKODA;1050;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('1050  ', 86);";;;;;;;
Voiture;SKODA;120;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('120  ', 86);";;;;;;;
Voiture;SKODA;130;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('130  ', 86);";;;;;;;
Voiture;SKODA;CITIGO;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CITIGO  ', 86);";;;;;;;
Voiture;SKODA;FABIA;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FABIA  ', 86);";;;;;;;
Voiture;SKODA;FABIA;COMBI;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FABIA COMBI ', 86);";;;;;;;
Voiture;SKODA;FABIA;SEDAN;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FABIA SEDAN ', 86);";;;;;;;
Voiture;SKODA;FAVORIT;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FAVORIT  ', 86);";;;;;;;
Voiture;SKODA;FELICIA;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FELICIA  ', 86);";;;;;;;
Voiture;SKODA;OCTAVIA;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('OCTAVIA  ', 86);";;;;;;;
Voiture;SKODA;RAPID;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RAPID  ', 86);";;;;;;;
Voiture;SKODA;ROOMSTER;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ROOMSTER  ', 86);";;;;;;;
Voiture;SKODA;SUPERB;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SUPERB  ', 86);";;;;;;;
Voiture;SKODA;YETI;;;;86;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('YETI  ', 86);";;;;;;;
